gun_id,crew_quality,range_m,miss_below,hull_at_or_above
pziv_75l48_apcbc,elite,100,10,12
pziv_75l48_apcbc,elite,250,10,14
pziv_75l48_apcbc,elite,500,11,15
pziv_75l48_apcbc,elite,750,14,16
pziv_75l48_apcbc,elite,1000,17,19
pziv_75l48_apcbc,elite,1500,22,23
pziv_75l48_apcbc,elite,2000,26,26
pziv_75l48_apcbc,elite,2500,,
pziv_75l48_apcbc,veteran,100,11,13
pziv_75l48_apcbc,veteran,250,11,15
pziv_75l48_apcbc,veteran,500,11,15
pziv_75l48_apcbc,veteran,750,14,16
pziv_75l48_apcbc,veteran,1000,17,19
pziv_75l48_apcbc,veteran,1500,22,23
pziv_75l48_apcbc,veteran,2000,26,26
pziv_75l48_apcbc,veteran,2500,,
pziv_75l48_apcbc,regular,100,12,14
pziv_75l48_apcbc,regular,250,12,15
pziv_75l48_apcbc,regular,500,12,15
pziv_75l48_apcbc,regular,750,14,16
pziv_75l48_apcbc,regular,1000,17,19
pziv_75l48_apcbc,regular,1500,22,23
pziv_75l48_apcbc,regular,2000,26,26
pziv_75l48_apcbc,regular,2500,,
pziv_75l48_apcbc,green,100,14,15
pziv_75l48_apcbc,green,250,14,16
pziv_75l48_apcbc,green,500,14,16
pziv_75l48_apcbc,green,750,14,16
pziv_75l48_apcbc,green,1000,17,19
pziv_75l48_apcbc,green,1500,22,23
pziv_75l48_apcbc,green,2000,26,26
pziv_75l48_apcbc,green,2500,,
pziv_75l48_apcbc,militia,100,15,17
pziv_75l48_apcbc,militia,250,15,18
pziv_75l48_apcbc,militia,500,15,18
pziv_75l48_apcbc,militia,750,15,18
pziv_75l48_apcbc,militia,1000,17,19
pziv_75l48_apcbc,militia,1500,22,23
pziv_75l48_apcbc,militia,2000,26,26
pziv_75l48_apcbc,militia,2500,,
tiger_88_apcbc,elite,100,10,12
tiger_88_apcbc,elite,250,10,14
tiger_88_apcbc,elite,500,10,15
tiger_88_apcbc,elite,750,13,16
tiger_88_apcbc,elite,1000,16,18
tiger_88_apcbc,elite,1500,21,22
tiger_88_apcbc,elite,2000,25,26
tiger_88_apcbc,elite,2500,,
tiger_88_apcbc,veteran,100,11,13
tiger_88_apcbc,veteran,250,11,15
tiger_88_apcbc,veteran,500,11,15
tiger_88_apcbc,veteran,750,13,16
tiger_88_apcbc,veteran,1000,16,18
tiger_88_apcbc,veteran,1500,21,22
tiger_88_apcbc,veteran,2000,25,26
tiger_88_apcbc,veteran,2500,,
tiger_88_apcbc,regular,100,12,14
tiger_88_apcbc,regular,250,12,15
tiger_88_apcbc,regular,500,12,15
tiger_88_apcbc,regular,750,13,16
tiger_88_apcbc,regular,1000,16,18
tiger_88_apcbc,regular,1500,21,22
tiger_88_apcbc,regular,2000,25,26
tiger_88_apcbc,regular,2500,,
tiger_88_apcbc,green,100,14,15
tiger_88_apcbc,green,250,14,16
tiger_88_apcbc,green,500,14,16
tiger_88_apcbc,green,750,14,16
tiger_88_apcbc,green,1000,16,18
tiger_88_apcbc,green,1500,21,22
tiger_88_apcbc,green,2000,25,26
tiger_88_apcbc,green,2500,,
tiger_88_apcbc,militia,100,15,17
tiger_88_apcbc,militia,250,15,18
tiger_88_apcbc,militia,500,15,18
tiger_88_apcbc,militia,750,15,18
tiger_88_apcbc,militia,1000,16,18
tiger_88_apcbc,militia,1500,21,22
tiger_88_apcbc,militia,2000,25,26
tiger_88_apcbc,militia,2500,,
pziii_50l60_apcbc,elite,100,10,12
pziii_50l60_apcbc,elite,250,10,14
pziii_50l60_apcbc,elite,500,10,15
pziii_50l60_apcbc,elite,750,13,16
pziii_50l60_apcbc,elite,1000,17,18
pziii_50l60_apcbc,elite,1500,22,23
pziii_50l60_apcbc,elite,2000,26,
